corso,tipo,comuni,gestione,inizio,sviluppo,termine,fishing_tour
DEL CASTELLO,FONTANA,CASALEGGIO - SAN PIETRO MOSEZZO,LIBERA,nasce nelle vicinanze della stazione da due sorgenti diverse confluenti dopo poche decine di metri in comune di CASALEGGIO,dopo breve percorso in località GARGARENGO entra nel comune di S.PIETRO M.,confluisce nella roggia BUSCA,
DEL CILIEGO (CACCIA),FONTANA,NOVARA - GRANOZZO,LIBERO,NOVARA frazione PAGLIATE,dopo essere entrata nel comune di GRANOZZO si divide in due rami,PRIMO RAMO confluisce nella roggia BIRAGHETTA SECONDO RAMO confluisce nel cavo cattedrale (FIPSAS),
DEL DIAVOLO,FONTANA,RECETTO - SAN NAZZARO,LIBERA,località CAMPOLUNGO,in comune di RECETTO sottopassa il canale CAVOUR e la strada direzione frazione CASCINONE,dopo poche centinaia di metri nel comune di S.NAZZARO si disperde nella campagna,
DEL PISARGIO',FONTANA,CASALEGGIO,LIBERA,vicinanze cascina BERTA,breve percorso,confluisce nel cavo PIATTI,
DEL PORTONE,FONTANA,CASALINO - VINZAGLIO,LIBERA,nasce a sud del comune di CASALINO,dopo poche centinaia di metri entra nel comune di VINZAGLIO a nord della cascina del CONTE,confine con la provincia di VERCELLI in comune di BORGOVERCELLI in frazione SCAVARDA vicinanze A26,
DEL POZZO,CAVO,SAN PIETRO MOSEZZO,LIBERA,esce dalla ROGGIA MOLINARA in località cascina COLOMBARA,attraversa il territorio della frazione CESTO,confluisce nella roggia PELTRENGA a sud del paese,
DELFINA o STUPUN,ROGGIA,SAN NAZZARO SESIA - RECETTO,LIBERA,RECETTO località SCHIAVINO,dopo aver oltrepassato la località BARAGGIONE entra nel comune di SAN NAZZARO SESIA,SAN NAZZARO SESIA nel cavo ISNARDI,
DELLA SOGNA,RIO,ARMENO,LIBERA,ai piedi dell'Alpe BONOMI,Alpe GUIDOTTI in Comune Armeno centro,torrente AGOGNA in comune di Armeno,
DESSI,CAVO,BRIONA - SAN PIETRO MOSEZZO - NOVARA - VESPOLATE - BORGOLAVEZZARO,LIBERA,BRIONA frazione PROH dalla ROGGIA MORA e dopo aver attraversato le frazioni di CESTO e NIBBIA entra nel comune di NOVARA frazione AGOGNATE,BRIONA S.PIETRO MOSEZZO NOVARA,nel comune di NOVARA frazione T.QUARTARA immettendosi nel cavo RILE dal quale fuoriesce in comune di VESPOLATE località cascina BERTUTTINA per proseguire in BORGOLAVEZZARO fino al confine con la provincia di PAVIA in comune di NICORVO,
DI CESTO,FONTANA,SAN PIETRO MOSEZZO - NOVARA,LIBERA,nasce in frazione CESTO in vicinanza case nuove in comune di SAN PIETRO,"attraversa la strada vecchia per Casaleggio, sottopassa l'A4 TO-MI ed il canale CAVOUR, quindi entra nel comune di NOVARA",si perde nelle campagne in frazione di CASALGIATE,
DIVISO,FOSSO COLATORE (annesso roggia Busca),CASALINO,ESTSESIA - GESTIONE A.P.D.,colatore,tutto il corso,r. Busca,FISHING TOUR
DOMINIONI,FONTANA,NOVARA,A.P.D.,testa di fontana a Monte del Canale Cavour,tutto il corso,a perdersi,FISHING TOUR
DOVES/DOVEGIO,RIO,ARMENO SOVAZZA,LIBERA,Località S.Giuseppe,SOVAZZA,Torrente AGOGNA in comune di ARMENO,
ELVADINA,FONTANA,SOZZAGO,ASSOCIAZ. PESCATORI SOZZAGO,CASCINA MAGAZZENO,1000 METRI,SOZZAGO,FISHING TOUR
ERGA,CANALE (ex Saporiti o Nuovo),TRECATE,ASSOCIAZ. PESCATORI TRECATESI,FILAROLA - ENEL,3000 METRI,TRECATE ponte SAN CASSIANO,FISHING TOUR
ERNO,TORRENTE,"LESA- MASSINO *affluenti del torrente ERNO nel comune di Massino V: rio vallone calorio, rio vallone prato pelo, rivo dei bugiaghi, rivo degli avallaschi, rivo fossa, rivo nauline,",LIBERA,GIGNESE in provincia del V.C.O.,"BROVELLO in provincia del V.C.O., COMNAGO, MASSINO V., LESA, SOLCIO DI LESA",LAGO MAGGIORE solcio di Lesa,
FAVINO,FONTANA,CASALBELTRAME,BUSOLO CLARISSA,CASALBELTRAME,"tratto della lunghezza di circa 1000 mt. Compreso tra il capofonte e l'immissione nel cavo Crosio, in prossimità della cascina Baraggia, in Comune di Casalbeltrame",CASALBELTRAME,
FERRERA,FONTANA,SOZZAGO - CERANO,A.P.D.,testa di fontana,tutto il corso,confine provinciale,FISHING TOUR
FIBIANA,FONTANA,S. PIETRO M.,F.I.P.S.A.S.,S.PIETRO MOSEZZO,dalle origini su tutto il territorio di S. Pietro M.,S.P.IETRO MOSEZZO,FISHING TOUR
FILARELLO,CAVO (annesso roggia Busca),MANDELLO VITTA,EST SESIA - GESTIONE APDA.P.D.,dalla Busca,tutto il corso,,FISHING TOUR
FILATURA DI GRIGNASCO,CANALE,GRIGNASCO - PRATO SESIA,FIPSAS,GRIGNASCO,"dall'imbocco del canale al secondo ponte dopo scarico Colonia in Comune di Grignasco, dall'ultimo ponte al ponte delle porte rosse di Grignasco,dalla centrale dell'Isola al ponte Torrente Mologna di Prato Sesia, dall'ultimo ponte alla foce del canale nel",PRATO SESIA,FISHING TOUR
FONTANA MARGHERITA o FONTANA PREALBA,FONTANA,CASALINO,LIBERA,cascina MARGHERITA frazione PONZANA in comune di CASALINO,CASALINO,adiacente alla cascina PREALBA immettendosi nel cavo dell'OSPEDALE,
FONTANACCIA,TORRENTE,POGNO,LIBERA,PROVINCIA DI VERCELLI,PRERRO,TORRENTE GRUA in Comune di POGNO,
FONTANETTA,FONTANA,SOZZAGO,LIBERA,nasce nella adiacenza della cascina MILORTA,breve tratto,confluisce nella frazione ROGGIOLA,
FONTANINA,FONTANA,GARBAGNA - NIBBIOLA,LIBERA,nasce nel comune di GARBAGNA in prossimità della linea ferroviaria NOVARA- ALESSANDRIA,Costeggia la S.S 211 in direzione MORTARA entra nel comune di NIBBIOLA e percorre un breve tratto,si disperde nelle campagne,
FONTANONE,FONTANILE,CASALVOLONE,PRIVATA,CASALVOLONE,dal capofonte allo sbocco nel cavo Torre,CASALVOLONE,
FONTANONE e SILVA,FONTANA,VICOLUNGO - BIANDRATE - CASALBELTRAME,LIBERA,VICOLUNGO località tiro a segno,"nel comune citato assume il nome di fontana FONTANONE dopo aver sottopassato l'autostrada A4, il canale CAVOUR e la strada provinciale di RECETTO entra nel comune di BIANDRATE modificando il nome in fontana SILVA proseguendo nel comune di CASALBELTRAME",CASALBELTRAME confluisce nella roggia BOLGORA località cimitero,
FONTANONE o PERSIGHETTO,ROGGIA,CASALBELTRAME - CASALVOLONE,LIBERA,CASALBELTRAME località tenuta S. ROSA,CASALBELTRAME - CASALVOLONE,si immette nella fontana CAVALLETTO sita a NORD dell'abitato di CASALVOLONE,
FONTANONE o VITTA (dal comune di MANDELLO in poi),FONTANA,CARPIGNANO - SILLAVENGO - MANDELLO - CASALEGGIO,LIBERA,CARPIGNANO nelle vicinanze dell'A26 dietro al cimitero,dopo aver oltrepassato la zona R.C. di Carpignano entra nel comune di SILLAVENGO scorrendo nei pressi del campo sportivo entra poi nel comune di MANDELLO in località cascina BIOLA incrocia la strada provinciale verso castellazzo corre parallela alla Strad,"MANDELLO- CASALEGGIO, poi poco a monte del D.A.N. in comune di Casaleggio si immette nella fontana MASSARA",
FOSSALONE,CAVO,NOVARA - TRECATE,EST SESIA - GESTIONE A.P.D.,NOVARA testa di fontana,origine dalla Fontana Ariotta in Comune di Novara - sbocco nella roggia Cerana in Comune di Trecate,TRECATE roggia Cerana,FISHING TOUR
GALEAZZA,FONTANA,BORGOMANERO - FONTANETO,F.I.P.S.A.S.,BORGOMANERO,"dall'origine, circa 300 m. a nord-est del Molino Resega ivi compresi i capofontifino alla confluenza con la fontana Dessi",FONTANETO,FISHING TOUR
GALISCIOTTA,FONTANA,VAPRIO,F.I.P.S.A.S.,VAPRIO A.,AFFLUENTE CAVO CID,VAPRIO A.,FISHING TOUR
GALLETTO,FONTANA,VINZAGLIO,LIBERA,nasce a nord della frazione VIGNETTA,sottopassa la S.P. in direzione TORRIONE,si immette nella roggia RIGOLINA in località cascina VISCARDA,
GALLETTO,RACCOGLITORE (annesso roggia Busca),CASALINI - CASALVOLONE,A.P.D.,dalla Busca,tutto il corso,a perdersi,FISHING TOUR
GAMARETTA,ROGGIA (annessa roggia Busca),CASALINO,A.P.D.,dalla Busca,tutto il corso,a perdersi,FISHING TOUR
GAMARETTO,ROGGIA,VINZAGLIO,LIBERA,fuoriesce dalla roggia GAMARA (concessione FIPSAS) in località cascina PORTONE,attraversa la frazione TORRIONE costeggiando la strada provinciale BORGOVERCELLI- PALESTRO,si immette nella roggia GAMARRO (concessione FIPSAS) a SUD della frazione TORRIONE,
GAMARRA,ROGGIA,VINZAGIO,EST SESIA - GESTIONE F.I.P.S.A.S.,BORGOVERCELLI,dalla confluenza della Roggia Bolgora con la roggia Morta (Borgovercelli) fino a monte Gallarotto e successivo tratto sino al confine tra i Comuni di Vinzaglio e Palestro in corrispondenza del canale sulla roggia Crocettona per la parte ricadente in Provi,Palestro nel Roggione Sartirana,FISHING TOUR
GAZURLO,LAGHETTO (cava dismessa),NOVARA,A.P.D.,,tutta l'area,,
GEOLA,FOSSO,INVORIO - BORGOMANERO - CRESSA,LIBERA,INVORIO,BARQUESTO in comune di BORGOMANERO C.na CERCERA frazione S.Cristinetta C.na SORGA frazione Colombera CRESSA frazione CANOVA,Torrente LIRONE in comune di CRESSA,
GERANA,ROGGIA,ROMENTINO,LIBERA,ROMENTINO adiacente cascina GERANO,ROMENTINO scorre interamente nel PARCO DEL TICINO,dopo aver sottopassato la roggia MOLINARA e ricevuto le acque di un suo scolmatore cambia nome in fontana SORGENTE,
GERMAGNONE,CAVO,BORGOLAVEZZARO,LIBERA,BORGOLAVEZZAROdal torrente AGOGNA in località CASCININO della CHIUSA,poche centinaia di metri,confine con la provincia di PAVIA in comune di NICORVO,
GIULIA,FONTANA,GRANOZZO,LIBERA,a ovest frazione MONTICELLO in comune di GRANOZZO,si sviluppa per circa un chilometro,confine con la Provincia di PAVIA in comune di CONFIENZA,
GOTTARDINO,FONTANA,SOZZAGO - CERANO,A.P.D.,testa di fontana,tutto il corso,confine provinciale,FISHING TOUR
GRUA,TORRENTE,POGNO - GOZZANO - BORGOMANERO,LIBERA,ALPE GRUA in Comune di POGNO,GOZZANO - PIOVINO - BORGOMANERO,TORRENTE AGOGNA - BORGOMANERO,
GUIDA o ROGGIA CONTE CASTELLANI,ROGGIA,CAVAGLIETTO - BARENGO - MOMO,LIBERA,CAVAGLIETTO (nasce dal torrente Agogna sopra la confluenza del torrente SIZZONE),"BARENGO (C.na S.CLEMENTE, Mulino NUOVO, Mulino di SOLAROLO)",GUIDETTA (C.na SOLAROLO in Comune di BARENGO),
GUIDETTA,ROGGIA,CAVAGLIO D'AGOGNA - CAVAGLIETTO - BARENGO - BRIONA,LIBERA,CAVAGLIO,CAVAGLIETTO BARENGO BRIONA frazione PROH,ROGGIA MORA a valle del cimitero di BRIONA,
IMMACOLATA,FONTANA,TERDOBBIATE - TORNACO - BORGOLAVEZZARO,LIBERA,nasce a sud del territorio comunale di TERDOBBIATE,entra nel comune di TORNACO e dopo un breve tratto nel comune di BORGOLAVEZZARO,confine con provinciale di PAVIA in comune di ALBONESE,
ISNARDI,CAVO,SAN NAZZARO SESIA,LIBERA,SAN NAZZARO SESIA località CASCINALE dal canale CAVOUR,scorre parallela al fiume SESIA,confine con la provincia di VERCELLI in comune di VILLATA,
LAGNA,RIO (TORRENTE),POGNO - S.MAURIZIO D'O.,LIBERA,POGNO (dove vi si immette il fosso scarpia),S. MAURIZIO,LAGO D'ORTA (località LAGNA in Comune di S. Maurizio d'Opaglio,
LAGO MAGGIORE,LAGO,,(DIRITTO ESCLUSIVO) Principe Gilberto BORROMEO Amministrazione Borromeo - Isola Bella - 28838 - STRESAgestione FIPSAS e Cooperativa Pescatori Professionisti del Lago Maggiore,"LAGO MAGGIORE compreso lungo i territori rivieraschi dei Comuni di Lesa, Meina, Arona, Mercurago e Castelletto Ticino",,,
LAMA DI BARCELLONA,LANCA,GALLIATE,ASSOC. PESCAT. DILETTANTI GALLIATESI,GALLIATE,"dalla linea partente dal Mulino del Pericolo passante a m. 58,20 a sud del fabbricato condominiale eretto all'inizio del primo scaricatore del Naviglio al confine territoriale tra il Comune di Galliate e il Comune di Romentino",NAVIGLIO SFORZESCO (PONTE DELLA BINDA),FISHING TOUR
LANCA CROCE,CAVO,TRECATE,ASSOCIAZ. PESCATORI TRECATESI,TRECATE località BOSCO DANICO (S. MARTINO),6000 METRI,TRECATE (BAGNO DEL LINO),
LANGOSCO,NAVIGLIO,ROMENTINO,EST SESIA - GESTIONE APD,confine Comune di Galliate,tutto in Comune di Romentino per mt. 3157,edificio di scarico nella roggia Molinara,
LANGOSCO,NAVIGLIO,GALLIATE,"COMUNE DI GALLIATE - P.zza Martiri della Libertà, 28 – 28066 GALLIATE - GESTIONE A.P.D. GALLIATESI",GALLIATE,"dalla linea partente dal Mulino del Pericolo passante a m. 58,20 a sud del fabbricato condominiale eretto all'inizio del primo scaricatore del Naviglio al confine territoriale tra il Comune di Galliate e il Comune di Romentino",CONFINE CON ROMENTINO,
LANGOSCO,CANALE,CERANO - TRECATE,EST SESIA - GESTIONE APD,TRECATE,m. 2573 compresi tra i ponti a servizio delle strade comunali San Cassiano (Trecate) e Bagno Posto (Cerano),CERANO,
LANGOSCO,NAVIGLIO,ROMENTINO - TRECATE,EST SESIA - GESTIONE APD,da Ticino ROMENTINO,"tratto di mt. 3035 compreso tra l'edificio di scarico della roggia Molinara alla progr.va 10700, in Comune di Romentino ed il ponte a servizio della strada comunale San Cassiano alla progr.va 13735, in Comune di Trecate",TRECATE,FISHING TOUR
LANGOSCO,NAVIGLIO,CERANO,EST SESIA - GESTIONE APD,CERANO,tratto di mt. 3085 compreso tra il ponte a servizio della strada comunale Bagno alla progr.va 16308 ed il confine con il Comune di Cassolnovo alla progr.va 19393 in Comune di Cerano,CERANO,FISHING TOUR
LAURA,CAVO,SAN PIETRO MOSEZZO frazione NIBBIA,LIBERA,SAN PIETRO MOSEZZO nasce dal canale CAVOUR in località laghetti OBBIADINO,sottopassa la strada provinciale 11 SAN PIETRO - BIANDRATE,si immette nella roggia PELTRENGA strada SAN PIETRO - GIONZANA,
LAURA,CAVO (annesso roggia Biraga),CASALINO,EST SESIA - GESTIONE APD,dalla Biraga,tutto il corso,a perdersi,
LIRONE,TORRENTE,GATTICO - VERUNO - BORGOMANERO - CRESSA - FONTANETO D'AGOGNA,LIBERO,GATTICO,C.na MOTTOGROSSO S. Cristina di Borgomanero C.na LIRONE di Veruno C.na VALLAZZETTA C.na CARISTO S. Cristina di Borgomanero CRESSA FONTANETO D'AGOGNA,Torrente AGOGNA in comune di FONTANETO,
LISCIOTTO,CAVO,CERANO,F.I.P.S.A.S.,CERANO,ESTENSIONE DIRITTO SUL FIUME TICINO,CERANO,
LUSERTA,FONTANA,TRECATE,ASSOCIAZ. PESCATORI TRECATESI,strada Moneta in comune di TRECATE,3500 METRI,TRECATE,FISHING TOUR
MAGIACCA,TORRENTE,GRIGNASCO,LIBERA,VALDUGGIA (Provincia di VERCELLI),ARA,FIUME SESIA in comune di GRIGNASCO,
MAINASCA,RIO,ARMENO SOVAZZA,LIBERA,Alpe BOCCIOLI,Alpe GIROMBELLO,torrente AGOGNA in comune di ARMENO,
MALPAGA,FONTANA,LANDIONA,LIBERA,nasce in località MALPAGA al confine con il comune di Sillavengo,percorre circa un chilometro,si immette nella fontana BUGLIA,
MANETTA,FONTANA,CALTIGNAGA - CAMERI,A.P.D.,testa di fontana,tutto il corso,in Terdoppio,
MANETTE,FONTANA,BELLINZAGO NOV. - CALTIGNAGA,LIBERA,BELLINZAGO nelle vicinanze del torrente TERDOPPIO località TESE SOPRA,dopo breve percorso entra nel comune di CALTIGNAGA frazione Sologno in località Sabai. Sotto confluisce nella frazione ACQUABONA,CALTIGNAGA frazione Acquabona,
MANZOLA,FONTANA,SAN PIETRO MOSEZZO,LIBERA,nasce nelle vicinanze della cascina MANZOLA in frazione Mosezzo,sottopassal'A4 TO-MI ed in canale Cavour,a EST della frazione Mosezzo si immette nel cavo PIATTI,
MARCO,FONTANONE,VAPRIO A.,F.I.P.S.A.S.,VAPRIO A.,AFFLUENTE CAVO CID,VAPRIO A.,
MARIINA,LAGHETTI (scavi di bonifica),GARBAGNA NOV.,A.P.D.,,tutta l'area,,FISHING TOUR
MARTELLETTO,FONTANA,GRANOZZO,LIBERA,adiacenze cascina Martelletto in comune di GRANOZZO,si sviluppa per circa un chilometro,confine con Pavia in comune di CONFIENZA,
MASSARA o della GAGLIARDA,FONTANA,MANDELLO VITTA - CASALEGGIO,LIBERA,nasce vicinanze cascina GAGLIARDA comune di MANDELLO VITTA,"sottopossa la strada provinciale MANDELLO- CASTELLAZZO in prossimità del cavalcavia F.S. NOVARA-BIELLA costeggia la cascina S.ROCCO, quindi dopo aver ricevuto le acque della fontana FONTANONE a nord del canale D.A.N. entra nel comune di CASALEGGIO",si immette nella fontana MOLINARA in comune di CASALEGGIO,
MEJA,TORRENTE,BOGOGNO - SUNO - GATTICO - AGRATE C. - VERUNO,LIBERA,GATTICO,VERUNO (verso REVISLATE e poi in confine con AGRATE) BOGOGNO (c.na SABBIONERA),TORRENTE AGOGNA in Comune di VAPRIO D'AGOGNA,
MIETTA,FONTANA,TRECATE - SOZZANO,LIBERA,nasce in località cascina Colonga in comune di TRECATE,sottopassa il TERDOPPIO entrando in comune di SOZZAGO,si disperde nelle campagne adiacenti alla cascina MIETTA,
MIRABELLA o MIETTA,FONTANA,TRECATE - NOVARA - CERANO,ASSOCIAZ. PESCATORI TRECATESI,NOVARA,NOVARA 5000 METRI,CERANO,
MOIA,FONTANA,CAMERI,LIBERA,CAMERI parco Ticino in località QUERCIA,scorre all'interno del parco,CAMERI confluisce nella stessa lanca sopracitata,
MOLINARA,ROGGIA (annessa roggia Busca),CASALINO (ORFENGO),EST SESIA - GESTIONE APD,dalla Busca,tutto il corso,a perdersi,
MOLINARA,ROGGIA,GALLIATE,"COMUNE DI GALLIATE - P.zza Martiri della Libertà, 28 – 28066 GALLIATE - GESTIONE A.P.D. GALLIATESI",GALLIATE,"dalla linea partente dal Mulino del Pericolo passante a m. 58,20 a sud del fabbricato condominiale eretto all'inizio del primo scaricatore del Naviglio al confine territoriale tra il Comune di Galliate e il Comune di Romentino",CONFINE CON ROMENTINO,FISHING TOUR
MOLINARA,ROGGIA (annessa roggia Biraga),VICOLUNGO - BIANDRATE,EST SESIA - GESTIONE APD,dalla Biraga a Vicolungo,tutto il corso,a perdersi nei capi a Biandrate,
MOLINARA,ROGGIA (annessa roggia Busca),CASALVOLONE (PISNENGO),EST SESIA - GESTIONE APD,dalla Busca,tutto il corso,a perdersi,FISHING TOUR
MOLINARA,ROGGIA,CAMERI,LIBERA,dal TICINO in comune di POMBIA,il tratto libero è solo nel comune di CAMERI all'interno del PARCO del TICINO,CAMERI in località cascina BORNAGO confluisce in una lanca in concessione ai privati (CAMERESI),
MOLINARA,ROGGIA (annessa roggia Busca),MANDELLO VITTA,EST SESIA - GESTIONE APD,dalla Busca,tutto il corso,,
MOLINARA,ROGGIA,CERANO - ROMENTINO - TRECATE,EST SESIA - GESTIONE APD,ROMENTINO dal confine della concessione di pesca GALLIATESI sita a circa 300 metri dalla cascina GERANO,"scorre interamente nel PARCO DEL TICINO e dopo aver oltrepassato la località MANDELLI entra in TRECATE frazione SAN MARTINO CERANO località BAR VENEZIA, quindi dopo aver sottopassato il naviglio SFORZESCO diventa in concessione FIPSAS",CERANO villa GIULIA confine con la provincia di PAVIA in comune di CASSOLNOVO,FISHING TOUR
MOLINARA,ROGGIA,BELLINZAGO - MARANO TICINO - OLEGGIO - POMBIA,CONS. INTERCOM. ROGGIA MOLINARA,POMBIA,dall'imbocco presso il Comune di Pombia fino al confine del territorio di Bellinzago compreso,BELLINZAGO,FISHING TOUR
MOLINARA,ROGGIA,COLAZZA,LIBERA,torrente TIASCHELLA,località LAVATOIO in comune di COLAZZA,Torrente TIASCA in comune di COLAZZA,
MOLINARA,ROGGIA,CAVAGLIO D'A. - FONTANETO D'AGOGNA - CAVAGLIETTO,LIBERA,FONTANETO (dal torrente Sizzone),CAVAGLIO D'AGOGNA CENTRO,CAVAGLIETTO (torrente Sizzone),
MOLINARA,ROGGIA (annessa roggia Busca),CASALEGGIO/GARGA RENGO - VICOLUNGO - BIANDRATE,EST SESIA - GESTIONE APD,dalla Busca,Tutto i corso,a perdersi,FISHING TOUR
MOLINARA,ROGGIA,MANDELLO VITTA - CASALEGGIO - CASTELLAZZO NOV.SE - SAN PIETRO MOSEZZO,LIBERA,nasce dalla roggia BUSCA in località cascina FAESINA in comune di MANDELLO,dopo breve percorso si divide in due rami: PRIMO RAMO si immette nella roggia BUSCA SECONDO RAMO continua nel comune di CASTELLAZZO dopo breve percorso sottopassa il canale D.A.N. entra in comune di CASALEGGIO. Poi,in località GARGARENGO entra in comune di S.PIETRO M. e scarica nel canale COVOUR,
MOLINARA,ROGGIA,LANDIONA - VICOLUNGO - BIANDRATE,EST SESIA - GESTIONE APD,nasce dal fiume SESIA al Km.15 dell'argine EST in comune di LANDIONA,attraversa Landiona incrocia nel D.A.N. in comune di VICOLUNGO per poi attraversare il centro abitato e proseguire nel comune di BIANDRATE,si disperde nelle campagne,FISHING TOUR
MOLINARA,ROGGIA,CRESSA,EST SESIA - GESTIONE FIPSAS,BORGOMANERO,dalla derivazione sul Torrente Agogna in Comune di Borgomanero allo sbocco del Cavo Borromeo in Comune di Cressa,CRESSA,FISHING TOUR
