provincia,id,tipo,comune,corso_acqua,tratto,regola,geometria,lunghezza_m,fonte
Torino,TO-PROT-066,protezione,Oulx,Emissario Lago Borello,Tutto il corso,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-067,protezione,Pancalieri,Rio Del Mulino,Tratto scorrente all'interno del parco comunale dal campo sportivo fino alla proprietà clara per 1 km,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-068,protezione,Parella,Torrente Chiusella,Tratto dall'imbocco della roggia cartiera (avio) per 300 m a monte e 50 m a valle,zona di protezione - divieto di pesca,linea (media),399,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-069,protezione,Perosa Argentina,Torrente Chisone,Per 50 metri a monte della zona pesca turistica,zona di protezione - divieto di pesca,linea (bassa),59,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-070,protezione,Perosa Argentina,Torrente Chisone Dallo Sbarramento Del Contonificio,Fino alla confluenza con il germanasca,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-071,protezione,Perrero,Bealera Di Perrero,Nel tratto scorrente in località siberia dalla sp per 400 m a valle e canale di fronte all'incubatoio ittico,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-072,protezione,Pessinetto,Torrente Stura,Dal ponte della ferrovia presso l'ex-cotonificio a valle fino al ponte della ferrovia presso il cimitero,zona di protezione - divieto di pesca,linea (media),1571,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-073,protezione,Pinasca,Rio Di Grandubbione,Dalla confluenza in chisone fino alla seconda briglia a monte della sp23,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-074,protezione,Piobesi,Canale Chisoletta,Dalle paratoie sul torrente chisola al ponte della s.p. none-piobesi,zona di protezione - divieto di pesca,linea (bassa),2955,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-075,protezione,Piobesi,Rio Essa,Dalle paratoie in località devesio-pruise a monte per 300 m,zona di protezione - divieto di pesca,linea (bassa),326,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-076,protezione,Pomaretto,Torrente Germanasca,Per 50 metri a monte del confine della znk,zona di protezione - divieto di pesca,linea (bassa),48,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-077,protezione,Pont Canavese,Torrente Orco,Dal canale genisio a monte sino alla confluenza della roggia ex-allevamento ittico fariano,zona di protezione - divieto di pesca,linea (bassa),2792,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-078,protezione,Pont Canavese,Torrente Orco (Canale Genisio),Tratto scorrente dalla paratoia in località oltreorco per tutto il suo corso,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-079,protezione,Pont Canavese,Torrente Soana,"Dalla ditta genisio bernardo sino al ponte dell'asilo, compresa la vasca a servizio dell'impianto genisio 28",zona di protezione - divieto di pesca,linea (bassa),84,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-080,protezione,Pont Canavese,Roggia Del Mulino,"Da s.p. pont canavese-sparone, in località deiro, a valle fino alla confluenza con l'orco",zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-081,protezione,Porte,Scaricatore Centrale Di Malanaggio,Dalla centrale fino allo sbocco in chisone,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-082,protezione,Porte,Canale Di Porte,Da ponte palestro a valle fino al ponte di strada s. martino,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-083,protezione,Pragelato,Torrente Chisone,"Tratto scorrente nel parco della val troncea tra la briglia in località lendeniera fino al ponte della tuccia, compreso il laghetto in sponda destra",zona di protezione - divieto di pesca,linea (bassa),2746,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-084,protezione,Prali,Lago Verde Lago Verde,,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-085,protezione,Prarostino-San Germano Chisone,Rio Turina,Dal muro della diga in località san bartolomeo a valle sino alla confluenza con il torrente chisone,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-086,protezione,Quincinetto,Roggia Montellina,Dal “troppo pieno” dell'acquedotto fino a 200 m a valle dell'incubatoio ittico provinciale in località montellina,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-087,protezione,Rivarolo,Roggia Vesignano,Da 400 m a monte della ditta gribaldi sino alla ditta stessa,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-088,protezione,San Colombano Belmonte,Torrente Gallenca,Tratto compreso tra il ponte della s.p. prascorsano- cuorgnè fino alla dighetta in località buasca,zona di protezione - divieto di pesca,linea (bassa),3143,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-089,protezione,San Germano Chisone,Risorgiva (Sentiero Bianco),Dal ponte sul sentiero bianco fino alla confluenza in chisone,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-090,protezione,San Germano Chisone,Torrente Risigliardo,Dal ponte della sp166 a valle fino alla confluenza in chisone,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-091,protezione,San Giorgio Canavese,Roggia Di San Giorgio,Dal ponte di via per ozegna al ponte di via san martino,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-092,protezione,San Giorgio Canavese,Torrente Malesina,Dalla confluenza della roggia di san giorgio con il malesina fino alla diga della presa della roggia di san giusto in località gallo,zona di protezione - divieto di pesca,linea (media),3296,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-093,protezione,San Giorgio Canavese,Roggia Del Mulino,Dal ponte di via garibaldi al ponte di via san martino,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-094,protezione,San Giusto - Foglizzo,Roggia Del Mulino,"Dalla presa della roggia in località cascina gallo a valle per tutto il corso, fino alla confluenza con il malesina in loc. cascina miglio",zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-095,protezione,San Secondo Di Pinerolo,Canale Colombini,"Dalle origini a valle sino alla centrale, scaricatori compresi",zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-096,protezione,Sauze Di Cesana,Torrente Ripa,Tratto compreso tra il ponte blaize e il ponte terribile,zona di protezione - divieto di pesca,linea (bassa),452,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-097,protezione,Torino,Laghetti Parco Colonnetti Laghetti Del Parco Colonnetti,,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-098,protezione,Torino,Torrente Stura Dallo Sbarramento A Protezione Del Ponte Di Corso Giulio Cesare,A valle per 700 m,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-099,protezione,Torino,Torrente Stura,Dal ponte amedeo viii a valle in sponda sx orografica fino a confluenza con il po ed a monte per 500 m,zona di protezione - divieto di pesca,linea (media),3971,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-100,protezione,Torino,Laghetto Della Falchera Laghetto Situato A Nord Dell'Istmo Che Separa I Due Laghi,,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-101,protezione,Torino,"Laghetti ""Pellerina"" Laghetti Del Parco Della ""Pellerina""",,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-102,protezione,Torre Pellice,Torrente Pellice,Dal ponte blancio a monte per 100 m,zona di protezione - divieto di pesca,linea (media),101,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-103,protezione,Trana-Avigliana,Rio Grosso O Naviglia Di Trana,Tratto di 1000 m a monte della passerella pedonale in ferro dell'area attrezzata fipsas,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-104,protezione,Trana-Giaveno,Risorgiva Murga,"Dalle origini in comune di giaveno, presso i confini comunali, fino alla confluenza con il rio ollasio",zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-105,protezione,Trausella (Valchiusa),Torrente Chiusella,Dal ponte di ferro di trausella a valle per 200 m,zona di protezione - divieto di pesca,linea (media),352,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-106,protezione,Traversella,Torrente Chiusella,Tratto in località fondo dal ponte romano per 200 m a valle e 200 m a monte 29,zona di protezione - divieto di pesca,linea (media),356,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-107,protezione,Usseaux,Torrente Chisone Bacino Di Pourrières -,Su tutte le opere in calcestruzzo costituenti il corpo diga,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-108,protezione,Val Di Chy,Lago Di Alice Lago Di Alice,,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-109,protezione,Venaria Reale,Torrente Ceronda,Dal ponte verde per 300 m a valle e 300 m a monte,zona di protezione - divieto di pesca,linea (media),682,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-110,protezione,Venaria Reale,Rio Valsoglia,Tratto scorrente all'interno della tenuta la mandria,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-111,protezione,Villafranca Piemonte,Torrente Pellice,Dal ponte della s.p. 139 a valle per 500 m,zona di protezione - divieto di pesca,linea (media),514,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-112,protezione,Villafranca Piemonte,Risorgiva Martinetto,Dall'origine con la risorgiva del mulino in comune di villafranca al ponte villafranca-moretta,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-113,protezione,Villar Pellice,Comba Tournau,Dalla cascata sita a quota 1600 metri circa fino alla confluenza con il torrente guicciard per un tratto di 2700 m,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-114,protezione,Villar Pellice,Torrente Pellice,Dal ponte delle rovine a valle sino al ponte cro,zona di protezione - divieto di pesca,linea (media),951,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-115,protezione,Villar Pellice,Torrente Liussa,Dal ponte di pietra a 700 m s.l.m. a valle sino alla confluenza con il torrente pellice,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-116,protezione,Vistrorio,Torrente Chiusella,Tratto dal ponte della provinciale vistrorio - vidracco a monte fino alla confluenza con il savenca,zona di protezione - divieto di pesca,linea (bassa),1623,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-117,protezione,Viù,Torrente Stura Di Viù Località Fucine - Dallo Sbarramento Enel,A monte fino allo scaricatore n. 5,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-PROT-118,protezione,Viù,Torrente Viana Località Fucine -,Dalla confluenza con il torrente stura fino al ponte venera 30,zona di protezione - divieto di pesca,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-02,salmonicola,,Torrente Cantogno,Torrente Cantogno e suoi affluenti e defluenti per tutto il loro corso ,acque salmonicole,linea (alta),9624,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-03,salmonicola,,Torrente Ceronda,Torrente Ceronda e suoi affluenti dalle origini al Ponte di Baratonia in Comune di Fiano ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-04,salmonicola,,Torrente Chiamogna,Torrente Chiamogna e suoi affluenti e defluenti dalle origini al ponte sulla Strada Provinciale di Pinerolo-Torre Pellice ,acque salmonicole,linea (media),4846,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-05,salmonicola,,Torrente Chisola,Torrente Chisola e suoi affluenti e defluenti dalle origini fino a tutto il territorio del Comune di Cumiana ,acque salmonicole,linea (media),19488,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-06,salmonicola,,Torrente Chisone,Torrente Chisone e suoi affluenti dalle origini alla confluenza con il torrente Pellice ,acque salmonicole,linea (media),45860,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-07,salmonicola,,Torrente Chiusella,Torrente Chiusella e suoi affluenti e defluenti dalle origini al ponte di Colleretto Giacosasa-Pranzalito per tutto il loro corso ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-08,salmonicola,,Fiume Dora Baltea,Fiume Dora Baltea dal confine con la Regione Autonoma Valle d'Aosta al ponte alla confluenza con il fiume Po in tutto il territorio della Provincia di Torino e tutti gli affluenti compresi nel tratto dal confine con la Regione Autonoma Vall,acque salmonicole,linea (media),547,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-09,salmonicola,,Fiume Dora Riparia,Fiume Dora Riparia e suoi affluenti e defluenti per tutto il suo corso dalle origini fino al confine del Comune di Pianezza in zona Bivio Cotonificio Valle Susa ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-10,salmonicola,,Torrente Lemina,Torrente Lemina e suoi affluenti dalle origini al ponte di San Pietro Val Lemina ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-11,salmonicola,,Torrente Malesina,Torrente Malesina e suoi affluenti e defluenti per tutto il loro corso ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-12,salmonicola,,Torrente Malone,Torrente Malone dalle origini al ponte di Front Canavese e suoi affluenti e defluenti per tutto il loro corso ,acque salmonicole,linea (media),11133,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-13,salmonicola,,Torrente Messa,Torrente Messa e suoi affluenti e defluenti per tutto il loro corso ,acque salmonicole,linea (alta),13078,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-14,salmonicola,,Torrente Noce,Torrente Noce dalle origini alla strada dei laghi in Comune di Frossasco e suoi affluenti e defluenti per tutto il loro corso ,acque salmonicole,linea (media),19769,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-15,salmonicola,,Torrente Orco,Torrente Orco dalle origini al ponte della strada provinciale Rivarolo-Ozegna e tutti i canali e affluenti e defluenti per tutto il loro corso ,acque salmonicole,linea (media),2282,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-16,salmonicola,,Torrente Pellice,Torrente Pellice per tutto il suo corso compresi i suoi affluenti e defluenti con l'esclusione del,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-18,salmonicola,,Torrente Ripa e affluenti e defluenti,Torrente Ripa e affluenti e defluenti per tutto il loro corso ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-19,salmonicola,,Torrente Sangone,Torrente Sangone dalle origini al ponte di Trana e suoi affluenti e defluenti per tutto il loro corso ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-20,salmonicola,,Torrente Soana,Torrente Soana e suoi affluenti e defluenti per tutto il loro corso ,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-21,salmonicola,,Fiume Stura di Lanzo,Fiume Stura di Lanzo e suoi affluenti e defluenti dalle origini fino al ponte della strada Villanova-Cafasse e i canali: riva sx (dalle origini fino al territorio comunale di Ciriè compreso) e riva dx (dalle origini fino al territorio comun,acque salmonicole,intero-corso,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-23,salmonicola,,Laghi montani collocati al di sopra dei 1000 m,Laghi montani collocati al di sopra dei 1000 m,acque salmonicole,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-01,salmonicola,Cumiana,Torrente Angiale,Torrente Angiale e suoi affluenti e defluenti dalle origini alle paratoie in località Cascina Gruatera ,acque salmonicole,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-17,salmonicola,Pinerolo,"Torrente Chiamogna,","Torrente Chiamogna, dal ponte sulla strada provinciale Pinerolo-Torre Pellice a valle ",acque salmonicole,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-SALM-22,salmonicola,Villafranca Piemonte,Rogge e corsi d'acqua scorrenti in territorio del Comune di ,Rogge e corsi d'acqua scorrenti in territorio del Comune di Villafranca Piemonte con esclusione del fiume Po ,acque salmonicole,marker,,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
Torino,TO-TUR-01,turistica,Ala di Stura,Torrente Stura di Ala,dal ponte del Cresto a valle fino allo sbarramento della centrale Poma (~100 m a valle del ponte del Villar),,linea (media),2110,Vademecum del Pescatore 2026 - Citta Metropolitana di Torino (agg. 20/02/2026)
